matrix,threads,mode,chunkSize,cycles,instructions,cache-references,cache-misses,LLC-loads,LLC-load-misses
3,4,1,1,1348997620,3319056826,993417,612535,72546,61670
3,4,1,10,1300157903,3318408912,645941,288450,18625,11880
3,4,1,100,1296299722,3318380243,543727,207258,11829,6226
3,4,1,1000,1295364556,3318393873,525013,199706,10761,5624
3,4,2,1,1295034382,3318362679,525193,204781,10815,5211
3,4,2,10,1294744527,3318365512,561846,200592,10785,5093
3,4,2,100,1294727419,3318369773,547507,205047,10673,4963
3,4,2,1000,1294481392,3318406961,538776,201604,10833,4938
3,8,0,1,1323547902,3320343856,834884,408369,55081,38215
3,8,0,10,1309309481,3319045542,643686,290981,17665,9646
3,8,0,100,1314493207,3319074559,577367,240882,13154,6418
3,8,0,1000,1311437516,3319134828,536522,225717,11644,5233
3,8,1,1,1390675687,3319461341,1006662,489857,98780,53733
3,8,1,10,1309883785,3318844801,659515,278974,21305,11856
3,8,1,100,1305592707,3318774064,587001,229049,13512,6380
3,8,1,1000,1306070544,3318801701,556799,223728,11757,5540
3,8,2,1,1305984112,3318839722,563540,230001,12627,5678
3,8,2,10,1304855689,3318834679,549851,203875,12296,5527
3,8,2,100,1304898461,3318805073,531768,216207,11931,5514
3,8,2,1000,1305987415,3318915264,515848,226391,11634,5299
3,16,0,1,1350285358,3321376615,716062,354737,66992,48968
3,16,0,10,1340128811,3319882560,708788,306352,24627,11009
3,16,0,100,1337240724,3319898829,599935,233473,16289,6807
3,16,0,1000,1331296178,3319915544,566880,227517,14072,5814
3,16,1,1,1471225502,3320312043,904026,394714,115998,54200
3,16,1,10,1338596380,3319713909,699426,277822,26680,11581
3,16,1,100,1330197590,3319683499,595916,206031,16279,6460
3,16,1,1000,1336974515,3320151844,563677,215475,14053,5504
3,16,2,1,1339289181,3319737060,573473,229422,16642,6700
3,16,2,10,1330114043,3319561715,610563,235461,16787,6526
3,16,2,100,1331107867,3319746587,558347,206904,15192,5984
3,16,2,1000,1331697895,3319974616,566806,221305,13781,5412
3,32,0,1,1453066877,3324774975,792016,304426,94508,58412
3,32,0,10,1437332870,3323545898,719866,253929,31257,11124
3,32,0,100,1426317805,3323087614,606777,226855,20325,7437
3,32,0,1000,1649635208,3335016530,578557,225876,17864,6173
3,32,1,1,1720355782,3325956666,935149,344683,132448,50583
3,32,1,10,1429116703,3322518451,743450,269518,35172,12071
3,32,1,100,1418009431,3322808394,607388,190485,20843,7540
3,32,1,1000,1418901680,3323991552,562563,198943,17420,5759
3,32,2,1,1424049448,3322476303,602900,199241,21100,7192
3,32,2,10,1406982222,3322395090,611466,192123,20909,6909
3,32,2,100,1407364088,3322578312,587705,193428,19645,6822
3,32,2,1000,1413219708,3323669709,574313,188241,17974,5993
3,64,0,1,3014259539,3396693931,945083,329756,96186,47059
3,64,0,10,3389040375,3414895431,774361,256929,43303,12161
3,64,0,100,2879019111,3390999593,627832,228710,28509,8067
3,64,0,1000,4474125725,3470225988,589878,227663,23494,6548
3,64,1,1,3350160244,3406690368,1035820,335749,111705,40444
3,64,1,10,2711333662,3381915152,783021,239778,45165,12773
3,64,1,100,2109123133,3354722614,626791,194087,28983,8345
3,64,1,1000,3093374893,3403819174,604960,210836,24284,6510
3,64,2,1,3019572140,3397648394,669491,203429,33704,9852
3,64,2,10,3004772254,3396994422,660059,210642,32134,9582
3,64,2,100,4109210732,3450481720,642866,201219,28986,8326
3,64,2,1000,2665531127,3383196591,628499,230480,24654,6665
4,1,-1,-1,712255804,1781215341,351598,40265,11824,4035
4,2,0,1,719718923,1779895026,549247,159235,15738,5441
4,2,0,10,710247763,1772388858,499596,156664,19783,6838
4,2,0,100,709134268,1771646537,412227,124917,17539,6037
4,2,0,1000,714241425,1771535204,348028,94353,13831,4058
4,2,1,1,834339400,1775907502,979518,615680,105798,95138
4,2,1,10,722719110,1771912625,549390,216124,32438,19761
4,2,1,100,708419329,1771515984,409749,123864,18251,7350
4,2,1,1000,706619084,1771472309,342262,85984,13713,4163
4,2,2,1,706721138,1771460465,334800,75999,12425,2709
4,2,2,10,706241404,1771462416,326407,72942,12177,2438
4,2,2,100,706038410,1771466785,338582,76549,12373,2945
4,2,2,1000,706117649,1771466762,321641,73794,12268,2506
4,4,0,1,723098008,1780221025,919887,412357,30336,12315
4,4,0,10,721529148,1772710390,685082,361528,41919,24809
4,4,0,100,715543858,1771890281,432218,192419,22406,10102
4,4,0,1000,715023522,1771862842,356823,134703,15101,5875
4,4,1,1,987887164,1776115501,1370914,981497,191697,177983
4,4,1,10,743433167,1772113256,738064,425982,56654,41694
4,4,1,100,714615854,1771715348,431285,186127,23177,11548
4,4,1,1000,710733158,1771651739,359672,120983,15280,5217
4,4,2,1,710543915,1771662825,320831,103267,13152,3131
4,4,2,10,711567747,1771677705,334964,113946,13106,3425
4,4,2,100,710397284,1771668735,336270,107474,13142,3421
4,4,2,1000,711178763,1771688200,337870,109551,13067,3762
4,8,0,1,736873914,1780546548,1673943,409344,87458,22155
4,8,0,10,736158298,1773231021,758443,311854,66795,29863
4,8,0,100,725889718,1772363417,448825,204502,26090,11268
4,8,0,1000,725321903,1772337323,341983,151076,16836,6992
4,8,1,1,1265165889,1776527446,2022249,896642,303851,151663
4,8,1,10,768114888,1772499990,851404,375330,89574,38451
4,8,1,100,722074727,1772057088,451845,194578,27755,12568
4,8,1,1000,718850683,1772061102,363462,141622,16878,6441
4,8,2,1,721925618,1772201045,335364,132597,15008,4706
4,8,2,10,717782197,1772025957,345415,125639,15033,4066
4,8,2,100,719981069,1772097105,342364,126937,14656,4399
4,8,2,1000,725232704,1772124981,338967,123863,14371,4111
4,16,0,1,788033942,1781741192,2488009,455090,207175,37717
4,16,0,10,759702911,1774290182,567207,237340,96349,44055
4,16,0,100,752925831,1773590049,452245,189807,29586,11147
4,16,0,1000,749134219,1773353548,377262,151127,19421,6891
4,16,1,1,1672797405,1777455406,2749735,834565,444049,131084
4,16,1,10,833733227,1773646223,710672,250280,120418,43553
4,16,1,100,749264279,1773103739,461245,190688,32278,13586
4,16,1,1000,737217203,1772867924,368779,133606,19297,6239
4,16,2,1,744613464,1773190905,369085,123047,18862,5216
4,16,2,10,741619207,1773082495,359516,128256,18714,4719
4,16,2,100,747221723,1773073987,368225,139778,18378,4872
4,16,2,1000,750664436,1773401481,355533,131339,17283,4630
4,32,0,1,886132398,1785489430,2814405,478174,355723,65755
4,32,0,10,835516461,1777098831,533411,205770,116735,49159
4,32,0,100,836233505,1776504952,478149,195383,36678,13015
4,32,0,1000,834379810,1776967342,388888,146093,23774,7749
4,32,1,1,2553432228,1780552569,3172900,729903,639153,118996
4,32,1,10,979065895,1777014621,623640,219534,140478,48151
4,32,1,100,834385593,1776498725,475473,161455,38540,13127
4,32,1,1000,824377089,1776460830,385850,110940,23727,7079
4,32,2,1,833382668,1776452799,396820,138239,26101,7756
4,32,2,10,817629953,1776100581,379629,110632,24864,5527
4,32,2,100,815710099,1776073873,379951,114954,23802,5515
4,32,2,1000,833110951,1776656189,370141,119659,22325,5726
4,64,0,1,1871907225,1830419734,1733762,339057,513319,115076
4,64,0,10,2996050904,1879014803,565118,207076,131418,49759
4,64,0,100,3433925813,1900281791,499021,185635,46359,13709
4,64,0,1000,1956221948,1829859216,414771,141060,31257,8005
4,64,1,1,4769092304,1816758834,2586870,615675,887729,129364
4,64,1,10,2269290902,1832863496,643687,209383,155011,48641
4,64,1,100,2496037339,1854550039,495686,164832,47541,14449
4,64,1,1000,1558578895,1810453300,407675,115737,31141,6906
4,64,2,1,2060289952,1833401888,441095,134282,36728,8728
4,64,2,10,2552705272,1857462181,439552,133165,36967,8814
4,64,2,100,1823480706,1822950020,432637,131153,34231,8675
4,64,2,1000,2073543673,1835292281,412081,123596,31397,7777
